nohup: ignoring input
第0个epoch:
第0个epoch:
tensor(2.6183, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.6295, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.3941, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.5146, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.4005, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.3240, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.3909, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.2874, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.3102, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.2590, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.4044, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.4264, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.2164, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.3195, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.1920, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.3582, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.1246, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.1670, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.1258, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.2369, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.1884, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.0471, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.2922, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.1936, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.4736, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.1587, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.1003, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.4981, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.1043, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.1531, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.2946, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.9943, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.0598, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.0132, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.9964, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.0022, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.1624, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.0630, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.1087, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.1039, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.1549, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.9123, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.0335, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.9159, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.0969, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.0541, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.9555, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.0561, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.9422, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.0442, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.0526, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.9341, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.9599, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.9577, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.9275, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.8852, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.8646, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.9240, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.7561, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.0330, device='cuda:1', grad_fn=<DivBackward0>)
tensor(2.0088, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.8270, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.8917, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.7888, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.8308, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.9423, device='cuda:1', grad_fn=<DivBackward0>)
